country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",18-11-2025 17:00,26.349082,92.68449,SO2,10,13,12
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",18-11-2025 17:00,26.446912,91.439057,PM2.5,22,85,38
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",18-11-2025 17:00,26.446912,91.439057,SO2,8,9,8
India,Assam,Silchar,"Tarapur, Silchar - PCBA",18-11-2025 17:00,24.82827,92.79525,NO2,15,19,18
India,Assam,Silchar,"Tarapur, Silchar - PCBA",18-11-2025 17:00,24.82827,92.79525,NH3,1,1,1
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",18-11-2025 17:00,26.071318,91.87488,SO2,5,8,6
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",18-11-2025 17:00,26.071318,91.87488,CO,43,71,54
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",18-11-2025 17:00,26.071318,91.87488,OZONE,16,24,21
India,Assam,Guwahati,"IITG, Guwahati - PCBA",18-11-2025 17:00,26.2028636,91.70046436,PM10,32,128,74
India,Assam,Guwahati,"IITG, Guwahati - PCBA",18-11-2025 17:00,26.2028636,91.70046436,NO2,1,7,3
India,Assam,Silchar,"Tarapur, Silchar - PCBA",18-11-2025 17:00,24.82827,92.79525,CO,24,66,30
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",18-11-2025 17:00,26.987634,94.636574,SO2,5,15,10
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",18-11-2025 17:00,26.987634,94.636574,OZONE,4,66,55
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",18-11-2025 17:00,26.146529,87.454184,PM2.5,18,316,101
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",18-11-2025 17:00,26.1875,91.744194,PM2.5,24,164,56
